label,packet_count,avg_packet_size,unique_src_ips,unique_dst_ips,unique_dst_ports,tcp_count,udp_count,reasons
ALERT,805,998.27,79,15,15,300,505,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,783,1016.38,55,9,12,261,522,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,1126,870.99,65,13,16,256,870,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,710,773.17,107,9,12,152,558,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,926,941.98,73,8,12,254,671,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,871,583.79,99,15,18,160,696,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,411,183.74,72,9,11,42,367,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,1188,979.93,65,9,13,372,814,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,2280,1057.45,89,13,13,657,1623,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,808,748.41,103,15,16,165,641,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,234,409.82,85,8,9,25,209,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,393,311.96,92,6,8,31,362,Possible DoS: high packet volume
ALERT,410,279.71,114,8,11,88,322,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,205,244.07,85,9,8,28,177,Possible DoS: high packet volume
ALERT,145,308.64,65,7,10,49,96,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,70,236.57,18,5,10,42,28,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,132,445.05,45,9,8,26,106,Possible DoS: high packet volume
ALERT,275,512.74,77,12,11,46,229,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,325,524.79,81,8,8,12,313,Possible DoS: high packet volume
ALERT,347,489.51,73,10,11,48,299,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,379,492.98,88,13,15,80,299,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,102,378.01,34,10,13,47,55,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,230,445.92,85,10,9,36,194,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,380,569.86,85,4,5,17,363,Possible DoS: high packet volume
ALERT,272,467.31,80,7,7,32,240,Possible DoS: high packet volume
ALERT,201,440.38,69,10,11,44,157,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,257,457.72,87,11,9,37,220,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,246,350.74,88,7,11,47,199,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,417,425.48,85,11,14,157,260,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,302,447.83,93,9,12,47,255,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,234,329.77,65,11,11,37,197,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,390,340.75,80,9,9,23,367,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,611,245.37,97,13,15,74,537,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,262,275.83,61,8,10,41,221,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,356,313.26,71,11,13,20,336,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,748,480.52,71,16,27,190,540,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,524,528.89,48,16,25,328,194,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,938,491.2,92,14,30,240,691,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,393,547.13,103,13,14,105,288,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,350,541.84,73,11,11,118,232,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,349,533.2,85,10,12,81,268,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,594,426.42,72,10,12,121,473,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,412,519.72,91,14,20,163,249,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,263,671.62,55,9,12,163,100,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,378,580.56,99,16,15,140,238,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,3306,936.96,104,13,16,130,3176,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,267,672.93,80,9,9,87,180,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,314,406.06,58,6,10,114,200,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,291,529.23,86,12,9,50,241,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,232,605.79,78,6,8,66,166,Possible DoS: high packet volume
ALERT,165,280.67,64,9,13,59,106,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,332,416.85,97,7,8,31,301,Possible DoS: high packet volume
ALERT,200,341.67,67,9,11,42,158,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,384,403.91,95,9,24,21,363,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,298,280.86,93,8,11,55,243,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,871,407.25,103,9,11,53,818,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,291,269.61,93,9,9,39,252,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,510,332.72,105,7,9,43,467,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,316,429.63,103,10,12,55,261,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,391,465.34,90,9,7,31,360,Possible DoS: high packet volume
ALERT,228,336.1,89,7,11,49,179,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,268,309.85,91,10,7,13,255,Possible DoS: high packet volume
ALERT,345,307.17,90,11,13,63,282,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,508,473.39,94,9,11,69,439,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,377,570.71,89,11,9,28,349,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,196,469.02,72,6,10,43,153,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,174,342.39,60,7,9,27,147,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,304,518.5,83,7,10,22,282,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,260,380.5,85,14,18,74,175,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,259,514.24,89,10,10,22,233,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,372,394.0,88,11,12,46,324,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,267,450.7,91,9,8,39,228,Possible DoS: high packet volume
ALERT,231,408.94,98,10,10,24,205,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,366,454.7,87,12,13,46,320,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,223,519.82,74,13,13,26,197,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,241,532.52,73,9,10,48,193,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,252,500.88,88,12,11,45,207,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,296,469.89,71,8,13,20,276,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,186,380.83,68,8,10,38,148,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,236,383.89,72,6,7,20,216,Possible DoS: high packet volume
ALERT,248,505.83,71,12,12,58,190,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,274,390.86,91,10,9,37,237,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,182,605.31,73,8,9,19,163,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,215,398.12,80,8,10,54,161,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,418,302.24,78,10,19,129,288,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,193,388.7,63,10,15,70,123,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,280,412.39,90,9,11,52,228,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,308,431.44,99,11,12,29,279,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,441,456.07,99,13,14,87,354,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,236,443.66,60,12,14,83,153,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,164,510.34,66,8,10,38,126,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,240,256.8,90,9,14,76,164,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,137,375.72,54,9,9,32,105,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,131,332.97,53,7,11,36,95,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,152,554.81,63,6,8,41,111,Possible DoS: high packet volume
ALERT,255,503.42,86,14,11,30,225,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,247,430.14,76,10,9,38,209,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
